N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,Net Occupancy Base, %,Net Occupancy Tract, %.1,Residential Real Estate Value Score,Residential Real Estate Value Base, %.2,Residential Real Estate Value Tract, %.3,Acres of Park Land Score,Acres of Park Land Base, %.4,Acres of Park Land Tract, %.5,Affordable Housing Score,Affordable Housing Base, %.6,Affordable Housing Tract, %.7,Internet Access Score,Internet Access Base, %.8,Internet Access Tract, %.9,Travel Time to Work Score,Travel Time to Work Base, %.10,Travel Time to Work Tract, %.11,Economy,Economy Growth,Economy Inclusion,New Businesses Score,New Businesses Base, %.12,New Businesses Tract, %.13,Spend Growth Score,Spend Growth Base, %.14,Spend Growth Tract, %.15,Small Business Loans Score,Small Business Loans Base, %.16,Small Business Loans Tract, %.17,Minority/Women Owned Businesses Score,Minority/Women Owned Businesses Base, %.18,Minority/Women Owned Businesses Tract, %.19,Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,Commercial Diversity Base, %.20,Commercial Diversity Tract, %.21,Community,Community Growth,Community Inclusion,Personal Income Score,Personal Income Base, %.22,Personal Income Tract, %.23,Spending per Capita Score,Spending per Capita Base, %.24,Spending per Capita Tract, %.25,Female Above Poverty Score,Female Above Poverty Base, %.26,Female Above Poverty Tract, %.27,Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,Early Education Enrollment Base, %.28,Early Education Enrollment Tract, %.29,Health Insurance Coverage Score,Health Insurance Coverage Base, %.30,Health Insurance Coverage Tract, %.31
10,,1121010700,Talladega County,Alabama,2019,30,16,45,40,40,39,8,-0.4,-7.0,71.0,6.5,231.7,42,2.1,1.5,44,81.0,80.2,47,74.7,74.0,24,73.0,62.7,27,4,50,2,11.2,-14.3,,,,7,5.3,-23.1,98.0,4.3,16.7,1,35,1,,,,26,5,47,5,8.4,-7.4,,,,4,82.0,52.2,96,42.5,35.2,56.0,22.9,24.7,31,91.5,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,1121010700,Talladega County,Alabama,2020,32,21,43,28,20,37,36,-0.4,0.0,5.0,12.0,-59.3,42,2.1,1.5,23,81.3,76.8,47,75.9,75.3,37,72.5,68.0,41,32,50,55,5.6,16.7,,,,9,6.0,-20.0,98.0,3.9,14.3,1,34,1,,,,26,11,41,11,10.9,1.0,,,,3,82.5,46.0,92,42.6,36.4,43.0,22.9,20.9,26,92.6,88.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,1121010700,Talladega County,Alabama,2021,38,38,39,29,32,26,55,-1.7,4.6,8.0,9.4,-47.2,42,2.1,1.5,31,82.0,78.9,9,81.4,67.0,22,71.6,60.1,54,64,43,64,4.5,28.6,,,,65,8.5,75.0,86.0,5.5,11.1,0,34,0,,,,32,17,47,17,11.8,5.3,,,,1,84.1,35.4,73,42.0,39.1,82.0,24.6,40.0,31,93.5,90.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1121010700,Talladega County,Alabama,2022,33,28,38,26,23,29,23,-1.4,-5.0,,13.0,,42,2.1,1.5,31,81.8,78.3,6,83.2,66.3,36,71.3,66.2,36,34,38,65,-6.7,33.3,,,,2,12.2,-50.0,75.0,5.2,8.3,1,33,1,,,,38,28,47,28,12.9,9.9,,,,1,84.3,35.2,63,42.1,40.5,99.0,24.7,86.8,26,93.4,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1121010700,Talladega County,Alabama,2023,32,27,38,24,19,29,19,-1.2,-6.9,,30.7,,42,2.1,1.5,29,81.1,77.1,14,84.7,75.3,30,71.2,63.8,38,34,42,15,24.1,8.3,,,,53,-7.2,14.3,84.0,3.9,7.7,1,33,1,,,,36,28,44,28,14.5,11.2,,,,1,84.3,38.0,86,42.1,37.1,64.0,25.5,31.3,24,93.2,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,1121010700,Talladega County,Alabama,2024,32,25,40,24,19,29,19,-1.2,-6.9,,30.7,,42,2.1,1.5,29,81.1,77.1,14,84.7,75.3,30,71.2,63.8,38,27,48,1,-3.3,-30.8,,,,53,-7.2,14.3,94.0,3.8,11.1,1,33,1,,,,36,28,44,28,14.5,11.2,,,,1,84.3,38.0,86,42.1,37.1,64.0,25.5,31.3,24,93.2,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1121010400,Talladega County,Alabama,2017,52,51,52,46,48,45,28,-0.1,-2.6,67.0,-2.2,20.8,95,2.1,36.0,19,79.8,73.5,17,73.5,63.1,48,73.7,72.9,56,59,54,66,0.6,10.3,44.0,,,67,3.0,41.2,94.0,4.3,11.4,13,35,11,,,,52,47,56,62,4.2,12.0,32.0,,,37,81.4,77.5,43,42.1,43.0,88.0,23.0,40.4,58,89.1,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,1121010400,Talladega County,Alabama,2018,50,46,53,44,42,47,16,-0.3,-6.7,67.0,1.3,27.6,95,2.1,36.0,37,80.5,78.4,17,73.5,63.1,40,73.3,70.1,50,46,54,66,0.6,10.3,55.0,,,17,0.6,-20.8,94.0,4.3,11.4,15,35,13,,,,54,49,59,70,5.9,19.8,28.0,,,39,81.7,78.5,51,42.3,42.2,90.0,23.0,42.6,55,90.3,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1121010400,Talladega County,Alabama,2019,50,43,56,44,42,47,11,-0.4,-10.3,72.0,6.5,49.5,95,2.1,36.0,49,81.0,80.9,15,74.7,63.7,29,73.0,65.1,49,41,57,28,11.2,2.3,44.0,,,52,5.3,15.8,94.0,4.3,11.4,20,35,16,,,,56,47,65,69,8.4,22.2,25.0,,,47,82.0,81.3,62,42.5,41.0,87.0,22.9,39.3,64,91.5,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,1121010400,Talladega County,Alabama,2020,50,47,53,46,47,46,26,-0.4,-3.6,68.0,12.0,42.7,95,2.1,36.0,55,81.3,82.0,17,75.9,66.6,18,72.5,58.8,54,49,58,51,5.6,6.8,63.0,,,33,6.0,0.0,95.0,3.9,10.6,21,34,16,,,,50,44,55,54,10.9,15.6,35.0,,,41,82.5,80.1,70,42.6,40.1,47.0,22.9,22.1,63,92.6,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,1121010400,Talladega County,Alabama,2021,50,46,53,58,60,55,60,-1.7,3.8,59.0,9.4,29.3,95,2.1,36.0,91,82.0,89.0,9,81.4,67.0,24,71.6,61.2,42,30,54,21,4.5,-8.5,42.0,,,28,8.5,-4.5,95.0,5.5,16.3,13,34,11,,,,48,48,49,36,11.8,9.9,61.0,,,49,84.1,83.9,53,42.0,41.6,,24.6,,44,93.5,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,1121010400,Talladega County,Alabama,2022,47,43,51,60,64,56,71,-1.4,12.6,56.0,13.0,29.0,95,2.1,36.0,95,81.8,90.5,7,83.2,67.4,26,71.3,62.0,48,40,55,47,-6.7,-7.0,30.0,,,43,12.2,14.3,98.0,5.2,20.0,12,33,10,,,,34,26,43,31,12.9,8.2,21.0,,,36,84.3,80.1,54,42.1,41.5,,24.7,,38,93.4,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,1121010400,Talladega County,Alabama,2023,54,62,47,56,55,56,71,-1.2,13.0,39.0,30.7,24.1,95,2.1,36.0,97,81.1,91.0,6,84.7,68.0,25,71.2,61.8,64,73,55,60,24.1,35.0,89.0,,,71,-7.2,54.2,98.0,3.9,14.8,12,33,10,,,,44,57,31,38,14.5,12.6,76.0,,,31,84.3,78.7,27,42.1,45.6,,25.5,,34,93.2,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1121010400,Talladega County,Alabama,2024,52,56,47,56,55,56,71,-1.2,13.0,39.0,30.7,24.1,95,2.1,36.0,97,81.1,91.0,6,84.7,68.0,25,71.2,61.8,56,56,55,53,-3.3,-1.9,44.0,,,71,-7.2,54.2,98.0,3.8,15.1,12,33,10,,,,44,58,31,38,14.5,12.6,78.0,,,31,84.3,78.7,27,42.1,45.6,,25.5,,34,93.2,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1121010500,Talladega County,Alabama,2017,22,22,22,42,41,43,70,-0.1,9.9,12.0,-2.2,-23.5,23,2.1,0.4,68,79.8,82.7,6,73.5,53.1,74,73.7,81.2,9,16,2,1,0.6,-37.5,,,,30,3.0,0.0,,,,2,35,3,,,,15,8,22,8,4.2,-11.1,,,,16,81.4,67.3,3,42.1,54.5,54.0,23.0,24.5,13,89.1,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,1121010500,Talladega County,Alabama,2018,22,21,23,42,40,43,63,-0.3,5.1,17.0,1.3,-15.9,23,2.1,0.4,77,80.5,84.3,6,73.5,53.1,67,73.3,78.9,9,16,2,1,0.6,-37.5,,,,32,0.6,0.0,,,,2,35,2,,,,16,7,24,7,5.9,-11.2,,,,17,81.7,68.7,4,42.3,53.2,64.0,23.0,27.5,9,90.3,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,1121010500,Talladega County,Alabama,2019,26,33,20,26,16,36,21,-0.4,-5.2,12.0,6.5,-18.9,23,2.1,0.4,56,81.0,81.8,7,74.7,56.4,57,73.0,75.1,34,66,1,66,11.2,80.0,,,,66,5.3,100.0,,,,1,35,1,,,,20,17,24,17,8.4,0.1,,,,17,82.0,69.5,4,42.5,53.2,66.0,22.9,28.7,7,91.5,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,1121010500,Talladega County,Alabama,2020,21,23,19,22,12,32,13,-0.4,-10.2,12.0,12.0,-14.6,23,2.1,0.4,52,81.3,81.6,8,75.9,60.5,45,72.5,71.0,2,4,1,5,5.6,-11.1,,,,3,6.0,-30.0,,,,1,34,1,,,,38,52,25,52,10.9,16.2,,,,17,82.5,70.6,4,42.6,54.0,73.0,22.9,31.2,7,92.6,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,1121010500,Talladega County,Alabama,2021,28,40,16,28,28,27,17,-1.7,-14.7,39.0,9.4,11.0,23,2.1,0.4,54,82.0,82.7,21,81.4,73.9,9,71.6,50.4,19,36,2,22,4.5,0.0,,,,49,8.5,28.6,,,,2,34,2,,,,38,57,18,57,11.8,20.4,,,,8,84.1,63.9,8,42.0,51.2,52.0,24.6,25.2,5,93.5,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,1121010500,Talladega County,Alabama,2022,27,37,17,22,20,24,25,-1.4,-8.7,16.0,13.0,-19.0,23,2.1,0.4,46,81.8,81.0,25,83.2,77.4,4,71.3,44.6,32,62,1,58,-6.7,12.5,,,,65,12.2,100.0,,,,1,33,1,,,,28,29,26,29,12.9,8.9,,,,5,84.3,57.4,8,42.1,51.3,84.0,24.7,42.3,9,93.4,84.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,1121010500,Talladega County,Alabama,2023,23,23,23,32,30,34,42,-1.2,-1.3,17.0,30.7,-5.4,23,2.1,0.4,54,81.1,81.6,55,84.7,85.7,2,71.2,38.4,16,31,1,45,24.1,33.3,,,,17,-7.2,-27.8,,,,1,33,1,,,,21,9,33,9,14.5,-3.8,,,,7,84.3,60.1,17,42.1,48.0,92.0,25.5,55.0,17,93.2,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,1121010500,Talladega County,Alabama,2024,23,23,23,32,30,34,42,-1.2,-1.3,17.0,30.7,-5.4,23,2.1,0.4,54,81.1,81.6,55,84.7,85.7,2,71.2,38.4,16,30,1,43,-3.3,0.0,,,,17,-7.2,-27.8,,,,1,33,1,,,,21,9,33,9,14.5,-3.8,,,,7,84.3,60.1,17,42.1,48.0,92.0,25.5,55.0,17,93.2,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Yes,1121010900,Talladega County,Alabama,2017,45,51,39,54,56,53,45,-0.1,0.6,66.0,-2.2,21.4,38,2.1,1.1,72,79.8,83.3,45,73.5,72.1,58,73.7,76.2,48,58,37,66,0.6,1.2,48.0,,,59,3.0,10.3,67.0,4.3,5.8,7,35,7,,,,33,38,28,28,4.2,0.1,49.0,,,11,81.4,63.1,62,42.1,40.6,4.0,23.0,5.2,35,89.1,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yes,1121010900,Talladega County,Alabama,2018,42,45,40,46,42,51,15,-0.3,-7.5,69.0,1.3,35.3,38,2.1,1.1,65,80.5,82.7,45,73.5,72.1,56,73.3,75.3,45,52,38,66,0.6,1.2,39.0,,,52,0.6,2.3,67.0,4.3,5.8,10,35,9,,,,36,40,31,53,5.9,10.7,28.0,,,14,81.7,66.1,70,42.3,39.9,2.0,23.0,1.7,37,90.3,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Yes,1121010900,Talladega County,Alabama,2019,43,45,41,44,38,51,11,-0.4,-12.7,64.0,6.5,31.9,38,2.1,1.1,66,81.0,83.0,54,74.7,75.8,47,73.0,71.9,46,53,40,43,11.2,1.8,49.0,,,68,5.3,22.7,67.0,4.3,5.8,13,35,11,,,,38,43,33,62,8.4,18.2,24.0,,,15,82.0,68.4,78,42.5,38.9,2.0,22.9,1.2,36,91.5,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Yes,1121010900,Talladega County,Alabama,2020,38,37,38,43,37,49,10,-0.4,-15.4,64.0,12.0,39.3,38,2.1,1.1,64,81.3,83.1,51,75.9,76.3,43,72.5,70.0,38,41,34,54,5.6,1.2,41.0,,,27,6.0,-16.7,52.0,3.9,4.0,16,34,13,,,,32,34,30,55,10.9,16.8,13.0,,,13,82.5,67.8,79,42.6,38.8,1.0,22.9,0.0,29,92.6,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Yes,1121010900,Talladega County,Alabama,2021,36,35,37,34,23,44,15,-1.7,-15.4,31.0,9.4,-2.9,38,2.1,1.1,57,82.0,83.1,66,81.4,84.5,17,71.6,57.5,38,43,32,43,4.5,-4.0,40.0,,,46,8.5,4.4,41.0,5.5,4.8,22,34,17,,,,36,38,34,40,11.8,11.9,35.0,,,9,84.1,64.7,77,42.0,38.5,,24.6,,17,93.5,87.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Yes,1121010900,Talladega County,Alabama,2022,34,33,35,41,35,47,22,-1.4,-11.2,48.0,13.0,21.0,38,2.1,1.1,58,81.8,83.1,64,83.2,85.8,29,71.3,63.6,38,47,29,72,-6.7,-2.4,31.0,,,37,12.2,0.0,47.0,5.2,4.9,11,33,9,,,,24,18,30,22,12.9,4.9,14.0,,,10,84.3,66.2,59,42.1,41.0,,24.7,,21,93.4,88.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Yes,1121010900,Talladega County,Alabama,2023,42,46,39,42,32,52,40,-1.2,-1.9,25.0,30.7,4.4,38,2.1,1.1,72,81.1,84.4,62,84.7,86.9,34,71.2,65.8,46,61,30,49,24.1,11.0,86.0,,,49,-7.2,-8.5,48.0,3.9,3.8,11,33,9,,,,41,46,36,20,14.5,4.9,73.0,,,12,84.3,67.4,61,42.1,40.6,45.0,25.5,23.6,24,93.2,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Yes,1121010900,Talladega County,Alabama,2024,40,44,37,42,32,52,40,-1.2,-1.9,25.0,30.7,4.4,38,2.1,1.1,72,81.1,84.4,62,84.7,86.9,34,71.2,65.8,46,67,24,91,-3.3,10.4,61.0,,,49,-7.2,-8.5,37.0,3.8,3.0,11,33,9,,,,34,33,36,20,14.5,4.9,46.0,,,12,84.3,67.4,61,42.1,40.6,45.0,25.5,23.6,24,93.2,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,1121010600,Talladega County,Alabama,2017,42,58,25,50,51,48,33,-0.1,-1.7,69.0,-2.2,97.2,31,2.1,0.8,95,79.8,88.4,1,73.5,40.2,63,73.7,77.8,32,62,2,48,0.6,5.3,72.0,,,65,3.0,66.7,,,,2,35,2,,,,42,60,24,68,4.2,34.9,53.0,,,4,81.4,50.4,5,42.1,52.3,61.0,23.0,26.7,26,89.1,85.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,1121010600,Talladega County,Alabama,2018,34,44,24,50,52,49,36,-0.3,-1.2,69.0,1.3,109.0,31,2.1,0.8,92,80.5,87.5,1,73.5,40.2,73,73.3,80.6,14,27,1,48,0.6,5.3,30.0,,,2,0.6,-40.0,,,,1,35,1,,,,36,52,21,67,5.9,35.1,36.0,,,4,81.7,50.1,3,42.3,54.8,56.0,23.0,25.0,20,90.3,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,1121010600,Talladega County,Alabama,2019,29,36,22,54,60,48,51,-0.4,1.6,68.0,6.5,74.8,31,2.1,0.8,89,81.0,86.8,3,74.7,47.8,69,73.0,79.1,5,9,1,9,11.2,-5.0,14.0,,,3,5.3,-33.3,,,,1,35,1,,,,29,40,18,67,8.4,37.2,13.0,,,3,82.0,47.7,1,42.5,58.3,56.0,22.9,24.8,13,91.5,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,1121010600,Talladega County,Alabama,2020,30,40,20,40,36,44,59,-0.4,3.9,13.0,12.0,-11.9,31,2.1,0.8,86,81.3,86.5,5,75.9,55.4,56,72.5,74.5,24,48,1,37,5.6,5.3,40.0,,,67,6.0,220.0,,,,1,34,1,,,,25,35,15,49,10.9,16.4,21.0,,,3,82.5,46.2,1,42.6,57.7,48.0,22.9,22.2,7,92.6,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,1121010600,Talladega County,Alabama,2021,37,40,34,46,45,46,71,-1.7,11.2,19.0,9.4,-12.8,31,2.1,0.8,78,82.0,86.4,15,81.4,71.1,62,71.6,75.7,43,42,44,67,4.5,25.0,15.0,,,43,8.5,20.0,71.0,5.5,8.0,17,34,14,,,,22,32,12,12,11.8,2.1,52.0,,,4,84.1,54.2,7,42.0,51.6,28.0,24.6,16.8,7,93.5,83.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,1121010600,Talladega County,Alabama,2022,26,20,31,42,38,46,72,-1.4,12.7,4.0,13.0,-55.2,31,2.1,0.8,77,81.8,85.9,22,83.2,76.5,54,71.3,72.7,24,19,30,15,-6.7,-20.0,13.0,,,30,12.2,8.3,48.0,5.2,5.0,12,33,10,,,,10,3,17,3,12.9,-10.4,3.0,,,4,84.3,55.4,30,42.1,45.0,28.0,24.7,16.5,7,93.4,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,1121010600,Talladega County,Alabama,2023,34,33,35,39,32,46,59,-1.2,4.4,4.0,30.7,-54.9,31,2.1,0.8,77,81.1,85.1,33,84.7,81.3,41,71.2,68.0,32,31,32,33,24.1,20.0,46.0,,,15,-7.2,-30.8,53.0,3.9,4.2,12,33,10,,,,31,36,26,6,14.5,-3.0,66.0,,,3,84.3,50.0,4,42.1,53.6,82.0,25.5,41.4,13,93.2,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,1121010600,Talladega County,Alabama,2024,33,31,35,39,32,46,59,-1.2,4.4,4.0,30.7,-54.9,31,2.1,0.8,77,81.1,85.1,33,84.7,81.3,41,71.2,68.0,37,40,34,48,-3.3,0.0,57.0,,,15,-7.2,-30.8,56.0,3.8,4.2,12,33,10,,,,24,22,26,6,14.5,-3.0,38.0,,,3,84.3,50.0,4,42.1,53.6,82.0,25.5,41.4,13,93.2,86.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,1121011000,Talladega County,Alabama,2017,42,34,49,43,46,40,63,-0.1,5.6,29.0,-2.2,-11.5,25,2.1,0.5,45,79.8,79.0,17,73.5,63.3,71,73.7,80.3,38,34,42,64,0.6,21.4,,,,4,3.0,-33.3,62.0,4.3,5.3,23,35,18,,,,43,21,65,21,4.2,-9.2,,,,68,81.4,85.8,46,42.1,42.6,76.0,23.0,32.3,70,89.1,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,1121011000,Talladega County,Alabama,2018,42,42,42,43,50,36,60,-0.3,4.0,41.0,1.3,-0.2,25,2.1,0.5,30,80.5,77.1,17,73.5,63.3,71,73.3,80.0,48,58,38,64,0.6,21.4,,,,51,0.6,16.7,62.0,4.3,5.3,14,35,12,,,,36,18,53,18,5.9,-12.1,,,,51,81.7,81.9,30,42.3,45.1,80.0,23.0,34.5,51,90.3,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
