N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,Net Occupancy Base %,Net Occupancy Tract,Residential Real Estate Value Score,Residential Real Estate Value Base,Residential Real Estate Value Tract,Acres of Park Land Score,Acres of Park Land Base,Acres of Park Land Tract,Affordable Housing Score,Affordable Housing Base,Affordable Housing Tract,Internet Access Score,Internet Access Base,Internet Access Tract,Travel Time to Work Score,Travel Time to Work Base,Travel Time to Work Tract,Economy,Economy Growth,Economy Inclusion,New Businesses Score,New Businesses Base,New Businesses Tract,Spend Growth Score,Spend Growth Base,Spend Growth Tract,Small Business Loans Score,Small Business Loans Base,Small Business Loans Tract,Minority/Women Owned Businesses Score,Minority/Women Owned Businesses Base,Minority/Women Owned Businesses Tract,Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,Commercial Diversity Base,Commercial Diversity Tract,Community,Community Growth,Community Inclusion,Personal Income Score,Personal Income Base,Personal Income Tract,Spending per Capita Score,Spending per Capita Base,Spending per Capita Tract,Female Above Poverty Score,Female Above Poverty Base,Female Above Poverty Tract,Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,Early Education Enrollment Base,Early Education Enrollment Tract,Health Insurance Coverage Score,Health Insurance Coverage Base,Health Insurance Coverage Tract
10,,1121010700,Talladega County,Alabama,2019,30,16,45,40,40,39,8,-0.4,71.0,231.7,42,1.5,81.0,80.2,74.7,24,73.0,27,50,2,-14.3,,,5.3,98.0,4.3,16.7,1,35,,,26,47,8.4,-7.4,,4,82.0,96,35.2,56.0,22.9,24.7,31,88.8,,,,,,,,,,,,,,,,,,,,,
11,,1121010700,Talladega County,Alabama,2020,32,21,43,28,20,37,36,-0.4,5.0,-59.3,42,1.5,81.3,76.8,75.9,37,72.5,41,50,55,16.7,,,6.0,98.0,3.9,14.3,1,34,,,26,41,10.9,1.0,,3,82.5,92,36.4,43.0,22.9,20.9,26,88.9,,,,,,,,,,,,,,,,,,,,,
12,,1121010700,Talladega County,Alabama,2021,38,38,39,29,32,26,55,-1.7,8.0,-47.2,42,1.5,82.0,78.9,81.4,22,71.6,54,43,64,28.6,,,8.5,86.0,5.5,11.1,0,34,,,32,47,11.8,5.3,,1,84.1,73,39.1,82.0,24.6,40.0,31,90.7,,,,,,,,,,,,,,,,,,,,,
13,,1121010700,Talladega County,Alabama,2022,33,28,38,26,23,29,23,-1.4,,,42,1.5,81.8,78.3,83.2,36,71.3,36,38,65,33.3,,,12.2,75.0,5.2,8.3,1,33,,,38,47,12.9,9.9,,1,84.3,63,40.5,99.0,24.7,86.8,26,89.4,,,,,,,,,,,,,,,,,,,,,
14,,1121010700,Talladega County,Alabama,2023,32,27,38,24,19,29,19,-1.2,,,42,1.5,81.1,77.1,84.7,30,71.2,38,42,15,8.3,,,-7.2,84.0,3.9,7.7,1,33,,,36,44,14.5,11.2,,1,84.3,86,37.1,64.0,25.5,31.3,24,89.0,,,,,,,,,,,,,,,,,,,,,
15,,1121010700,Talladega County,Alabama,2024,32,25,40,24,19,29,19,-1.2,,,42,1.5,81.1,77.1,84.7,30,71.2,38,48,1,-30.8,,,-7.2,94.0,3.8,11.1,1,33,,,36,44,14.5,11.2,,1,84.3,86,37.1,64.0,25.5,31.3,24,89.0,,,,,,,,,,,,,,,,,,,,,
16,,1121010400,Talladega County,Alabama,2017,52,51,52,46,48,45,28,-0.1,67.0,20.8,95,36.0,79.8,73.5,73.5,48,73.7,56,54,66,10.3,,,3.0,94.0,4.3,11.4,13,35,,,52,56,4.2,12.0,,37,81.4,43,43.0,88.0,23.0,40.4,58,90.2,,,,,,,,,,,,,,,,,,,,,
17,,1121010400,Talladega County,Alabama,2018,50,46,53,44,42,47,16,-0.3,67.0,27.6,95,36.0,80.5,78.4,73.5,40,73.3,50,54,66,10.3,,,0.6,94.0,4.3,11.4,15,35,,,54,59,5.9,19.8,,39,81.7,51,42.2,90.0,23.0,42.6,55,90.9,,,,,,,,,,,,,,,,,,,,,
18,,1121010400,Talladega County,Alabama,2019,50,43,56,44,42,47,11,-0.4,72.0,49.5,95,36.0,81.0,80.9,74.7,29,73.0,49,57,28,2.3,,,5.3,94.0,4.3,11.4,20,35,,,56,65,8.4,22.2,,47,82.0,62,41.0,87.0,22.9,39.3,64,93.2,,,,,,,,,,,,,,,,,,,,,
19,,1121010400,Talladega County,Alabama,2020,50,47,53,46,47,46,26,-0.4,68.0,42.7,95,36.0,81.3,82.0,75.9,18,72.5,54,58,51,6.8,,,6.0,95.0,3.9,10.6,21,34,,,50,55,10.9,15.6,,41,82.5,70,40.1,47.0,22.9,22.1,63,94.0,,,,,,,,,,,,,,,,,,,,,
20,,1121010400,Talladega County,Alabama,2021,50,46,53,58,60,55,60,-1.7,59.0,29.3,95,36.0,82.0,89.0,81.4,24,71.6,42,54,21,-8.5,,,8.5,95.0,5.5,16.3,13,34,,,48,49,11.8,9.9,,49,84.1,53,41.6,,24.6,,44,92.7,,,,,,,,,,,,,,,,,,,,,
21,,1121010400,Talladega County,Alabama,2022,47,43,51,60,64,56,71,-1.4,56.0,29.0,95,36.0,81.8,90.5,83.2,26,71.3,48,55,47,-7.0,,,12.2,98.0,5.2,20.0,12,33,,,34,43,12.9,8.2,,36,84.3,54,41.5,,24.7,,38,91.7,,,,,,,,,,,,,,,,,,,,,
22,,1121010400,Talladega County,Alabama,2023,54,62,47,56,55,56,71,-1.2,39.0,24.1,95,36.0,81.1,91.0,84.7,25,71.2,64,55,60,35.0,,,-7.2,98.0,3.9,14.8,12,33,,,44,31,14.5,12.6,,31,84.3,27,45.6,,25.5,,34,91.0,,,,,,,,,,,,,,,,,,,,,
23,,1121010400,Talladega County,Alabama,2024,52,56,47,56,55,56,71,-1.2,39.0,24.1,95,36.0,81.1,91.0,84.7,25,71.2,56,55,53,-1.9,,,-7.2,98.0,3.8,15.1,12,33,,,44,31,14.5,12.6,,31,84.3,27,45.6,,25.5,,34,91.0,,,,,,,,,,,,,,,,,,,,,
24,,1121010500,Talladega County,Alabama,2017,22,22,22,42,41,43,70,-0.1,12.0,-23.5,23,0.4,79.8,82.7,73.5,74,73.7,9,2,1,-37.5,,,3.0,,,,2,35,,,15,22,4.2,-11.1,,16,81.4,3,54.5,54.0,23.0,24.5,13,82.0,,,,,,,,,,,,,,,,,,,,,
25,,1121010500,Talladega County,Alabama,2018,22,21,23,42,40,43,63,-0.3,17.0,-15.9,23,0.4,80.5,84.3,73.5,67,73.3,9,2,1,-37.5,,,0.6,,,,2,35,,,16,24,5.9,-11.2,,17,81.7,4,53.2,64.0,23.0,27.5,9,81.6,,,,,,,,,,,,,,,,,,,,,
26,,1121010500,Talladega County,Alabama,2019,26,33,20,26,16,36,21,-0.4,12.0,-18.9,23,0.4,81.0,81.8,74.7,57,73.0,34,1,66,80.0,,,5.3,,,,1,35,,,20,24,8.4,0.1,,17,82.0,4,53.2,66.0,22.9,28.7,7,82.1,,,,,,,,,,,,,,,,,,,,,
27,,1121010500,Talladega County,Alabama,2020,21,23,19,22,12,32,13,-0.4,12.0,-14.6,23,0.4,81.3,81.6,75.9,45,72.5,2,1,5,-11.1,,,6.0,,,,1,34,,,38,25,10.9,16.2,,17,82.5,4,54.0,73.0,22.9,31.2,7,83.2,,,,,,,,,,,,,,,,,,,,,
28,,1121010500,Talladega County,Alabama,2021,28,40,16,28,28,27,17,-1.7,39.0,11.0,23,0.4,82.0,82.7,81.4,9,71.6,19,2,22,0.0,,,8.5,,,,2,34,,,38,18,11.8,20.4,,8,84.1,8,51.2,52.0,24.6,25.2,5,81.6,,,,,,,,,,,,,,,,,,,,,
29,,1121010500,Talladega County,Alabama,2022,27,37,17,22,20,24,25,-1.4,16.0,-19.0,23,0.4,81.8,81.0,83.2,4,71.3,32,1,58,12.5,,,12.2,,,,1,33,,,28,26,12.9,8.9,,5,84.3,8,51.3,84.0,24.7,42.3,9,84.7,,,,,,,,,,,,,,,,,,,,,
30,,1121010500,Talladega County,Alabama,2023,23,23,23,32,30,34,42,-1.2,17.0,-5.4,23,0.4,81.1,81.6,84.7,2,71.2,16,1,45,33.3,,,-7.2,,,,1,33,,,21,33,14.5,-3.8,,7,84.3,17,48.0,92.0,25.5,55.0,17,87.3,,,,,,,,,,,,,,,,,,,,,
31,,1121010500,Talladega County,Alabama,2024,23,23,23,32,30,34,42,-1.2,17.0,-5.4,23,0.4,81.1,81.6,84.7,2,71.2,16,1,43,0.0,,,-7.2,,,,1,33,,,21,33,14.5,-3.8,,7,84.3,17,48.0,92.0,25.5,55.0,17,87.3,,,,,,,,,,,,,,,,,,,,,
32,Yes,1121010900,Talladega County,Alabama,2017,45,51,39,54,56,53,45,-0.1,66.0,21.4,38,1.1,79.8,83.3,73.5,58,73.7,48,37,66,1.2,,,3.0,67.0,4.3,5.8,7,35,,,33,28,4.2,0.1,,11,81.4,62,40.6,4.0,23.0,5.2,35,87.0,,,,,,,,,,,,,,,,,,,,,
33,Yes,1121010900,Talladega County,Alabama,2018,42,45,40,46,42,51,15,-0.3,69.0,35.3,38,1.1,80.5,82.7,73.5,56,73.3,45,38,66,1.2,,,0.6,67.0,4.3,5.8,10,35,,,36,31,5.9,10.7,,14,81.7,70,39.9,2.0,23.0,1.7,37,88.6,,,,,,,,,,,,,,,,,,,,,
34,Yes,1121010900,Talladega County,Alabama,2019,43,45,41,44,38,51,11,-0.4,64.0,31.9,38,1.1,81.0,83.0,74.7,47,73.0,46,40,43,1.8,,,5.3,67.0,4.3,5.8,13,35,,,38,33,8.4,18.2,,15,82.0,78,38.9,2.0,22.9,1.2,36,89.7,,,,,,,,,,,,,,,,,,,,,
35,Yes,1121010900,Talladega County,Alabama,2020,38,37,38,43,37,49,10,-0.4,64.0,39.3,38,1.1,81.3,83.1,75.9,43,72.5,38,34,54,1.2,,,6.0,52.0,3.9,4.0,16,34,,,32,30,10.9,16.8,,13,82.5,79,38.8,1.0,22.9,0.0,29,89.6,,,,,,,,,,,,,,,,,,,,,
36,Yes,1121010900,Talladega County,Alabama,2021,36,35,37,34,23,44,15,-1.7,31.0,-2.9,38,1.1,82.0,83.1,81.4,17,71.6,38,32,43,-4.0,,,8.5,41.0,5.5,4.8,22,34,,,36,34,11.8,11.9,,9,84.1,77,38.5,,24.6,,17,87.4,,,,,,,,,,,,,,,,,,,,,
37,Yes,1121010900,Talladega County,Alabama,2022,34,33,35,41,35,47,22,-1.4,48.0,21.0,38,1.1,81.8,83.1,83.2,29,71.3,38,29,72,-2.4,,,12.2,47.0,5.2,4.9,11,33,,,24,30,12.9,4.9,,10,84.3,59,41.0,,24.7,,21,88.3,,,,,,,,,,,,,,,,,,,,,
38,Yes,1121010900,Talladega County,Alabama,2023,42,46,39,42,32,52,40,-1.2,25.0,4.4,38,1.1,81.1,84.4,84.7,34,71.2,46,30,49,11.0,,,-7.2,48.0,3.9,3.8,11,33,,,41,36,14.5,4.9,,12,84.3,61,40.6,45.0,25.5,23.6,24,89.0,,,,,,,,,,,,,,,,,,,,,
39,Yes,1121010900,Talladega County,Alabama,2024,40,44,37,42,32,52,40,-1.2,25.0,4.4,38,1.1,81.1,84.4,84.7,34,71.2,46,24,91,10.4,,,-7.2,37.0,3.8,3.0,11,33,,,34,36,14.5,4.9,,12,84.3,61,40.6,45.0,25.5,23.6,24,89.0,,,,,,,,,,,,,,,,,,,,,
40,,1121010600,Talladega County,Alabama,2017,42,58,25,50,51,48,33,-0.1,69.0,97.2,31,0.8,79.8,88.4,73.5,63,73.7,32,2,48,5.3,,,3.0,,,,2,35,,,42,24,4.2,34.9,,4,81.4,5,52.3,61.0,23.0,26.7,26,85.2,,,,,,,,,,,,,,,,,,,,,
41,,1121010600,Talladega County,Alabama,2018,34,44,24,50,52,49,36,-0.3,69.0,109.0,31,0.8,80.5,87.5,73.5,73,73.3,14,1,48,5.3,,,0.6,,,,1,35,,,36,21,5.9,35.1,,4,81.7,3,54.8,56.0,23.0,25.0,20,85.5,,,,,,,,,,,,,,,,,,,,,
42,,1121010600,Talladega County,Alabama,2019,29,36,22,54,60,48,51,-0.4,68.0,74.8,31,0.8,81.0,86.8,74.7,69,73.0,5,1,9,-5.0,,,5.3,,,,1,35,,,29,18,8.4,37.2,,3,82.0,1,58.3,56.0,22.9,24.8,13,84.9,,,,,,,,,,,,,,,,,,,,,
43,,1121010600,Talladega County,Alabama,2020,30,40,20,40,36,44,59,-0.4,13.0,-11.9,31,0.8,81.3,86.5,75.9,56,72.5,24,1,37,5.3,,,6.0,,,,1,34,,,25,15,10.9,16.4,,3,82.5,1,57.7,48.0,22.9,22.2,7,83.2,,,,,,,,,,,,,,,,,,,,,
44,,1121010600,Talladega County,Alabama,2021,37,40,34,46,45,46,71,-1.7,19.0,-12.8,31,0.8,82.0,86.4,81.4,62,71.6,43,44,67,25.0,,,8.5,71.0,5.5,8.0,17,34,,,22,12,11.8,2.1,,4,84.1,7,51.6,28.0,24.6,16.8,7,83.9,,,,,,,,,,,,,,,,,,,,,
45,,1121010600,Talladega County,Alabama,2022,26,20,31,42,38,46,72,-1.4,4.0,-55.2,31,0.8,81.8,85.9,83.2,54,71.3,24,30,15,-20.0,,,12.2,48.0,5.2,5.0,12,33,,,10,17,12.9,-10.4,,4,84.3,30,45.0,28.0,24.7,16.5,7,83.2,,,,,,,,,,,,,,,,,,,,,
46,,1121010600,Talladega County,Alabama,2023,34,33,35,39,32,46,59,-1.2,4.0,-54.9,31,0.8,81.1,85.1,84.7,41,71.2,32,32,33,20.0,,,-7.2,53.0,3.9,4.2,12,33,,,31,26,14.5,-3.0,,3,84.3,4,53.6,82.0,25.5,41.4,13,86.2,,,,,,,,,,,,,,,,,,,,,
47,,1121010600,Talladega County,Alabama,2024,33,31,35,39,32,46,59,-1.2,4.0,-54.9,31,0.8,81.1,85.1,84.7,41,71.2,37,34,48,0.0,,,-7.2,56.0,3.8,4.2,12,33,,,24,26,14.5,-3.0,,3,84.3,4,53.6,82.0,25.5,41.4,13,86.2,,,,,,,,,,,,,,,,,,,,,
48,,1121011000,Talladega County,Alabama,2017,42,34,49,43,46,40,63,-0.1,29.0,-11.5,25,0.5,79.8,79.0,73.5,71,73.7,38,42,64,21.4,,,3.0,62.0,4.3,5.3,23,35,,,43,65,4.2,-9.2,,68,81.4,46,42.6,76.0,23.0,32.3,70,91.6,,,,,,,,,,,,,,,,,,,,,
49,,1121011000,Talladega County,Alabama,2018,42,42,42,43,50,36,60,-0.3,41.0,-0.2,25,0.5,80.5,77.1,73.5,71,73.3,48,38,64,21.4,,,0.6,62.0,4.3,5.3,14,35,,,36,53,5.9,-12.1,,51,81.7,30,45.1,80.0,23.0,34.5,51,90.5,,,,,,,,,,,,,,,,,,,,,
50,,1121011000,Talladega County,Alabama,2019,36,35,37,34,35,34,44,-0.4,26.0,-7.9,25,0.5,81.0,76.6,74.7,68,73.0,44,35,38,11.8,,,5.3,62.0,4.3,5.3,8,35,,,30,42,8.4,-10.0,,37,82.0,20,47.1,81.0,22.9,35.7,29,88.6,,,,,,,,,,,,,,,,,,,,,
51,,1121011000,Talladega County,Alabama,2020,32,30,35,38,41,35,47,-0.4,35.0,5.0,25,0.5,81.3,77.6,75.9,67,72.5,32,36,36,5.3,,,6.0,66.0,3.9,5.0,6,34,,,28,34,10.9,-1.3,,31,82.5,15,48.5,72.0,22.9,30.8,19,87.5,,,,,,,,,,,,,,,,,,,,,
52,,1121011000,Talladega County,Alabama,2021,41,51,31,48,56,40,55,-1.7,57.0,26.8,25,0.5,82.0,80.8,81.4,57,71.6,42,26,59,15.0,,,8.5,37.0,5.5,4.3,14,34,,,34,28,11.8,8.3,,35,84.1,20,47.0,,24.6,,28,90.2,,,,,,,,,,,,,,,,,,,,,
53,,1121011000,Talladega County,Alabama,2022,48,56,39,57,62,52,62,-1.4,63.0,42.0,25,0.5,81.8,86.1,83.2,61,71.3,36,24,54,4.3,,,12.2,37.0,5.2,4.2,12,33,,,48,40,12.9,15.7,,57,84.3,35,44.1,,24.7,,27,89.6,,,,,,,,,,,,,,,,,,,,,
54,,1121011000,Talladega County,Alabama,2023,40,41,38,43,40,46,48,-1.2,33.0,16.6,25,0.5,81.1,85.4,84.7,49,71.2,23,32,15,4.2,,,-7.2,51.0,3.9,4.0,12,33,,,52,37,14.5,24.1,,48,84.3,38,43.7,,25.5,,25,89.2,,,,,,,,,,,,,,,,,,,,,
55,,1121011000,Talladega County,Alabama,2024,40,40,40,43,40,46,48,-1.2,33.0,16.6,25,0.5,81.1,85.4,84.7,49,71.2,24,36,12,-12.0,,,-7.2,60.0,3.8,4.5,12,33,,,52,37,14.5,24.1,,48,84.3,38,43.7,,25.5,,25,89.2,,,,,,,,,,,,,,,,,,,,,
56,,1121010301,Talladega County,Alabama,2017,34,41,26,30,34,27,13,-0.1,56.0,8.5,21,0.3,79.8,76.0,73.5,34,73.7,20,26,6,-22.7,,,3.0,38.0,4.3,3.6,14,35,,,50,24,4.2,38.0,,8,81.4,8,50.7,59.0,23.0,26.1,19,83.8,,,,,,,,,,,,,,,,,,,,,
57,,1121010301,Talladega County,Alabama,2018,33,37,29,24,21,28,14,-0.3,28.0,-9.6,21,0.3,80.5,76.8,73.5,35,73.3,22,28,6,-22.7,,,0.6,38.0,4.3,3.6,18,35,,,54,31,5.9,42.1,,13,81.7,4,53.5,76.0,23.0,32.6,31,87.6,,,,,,,,,,,,,,,,,,,,,
58,,1121010301,Talladega County,Alabama,2019,42,56,29,30,32,28,44,-0.4,19.0,-14.5,21,0.3,81.0,77.9,74.7,30,73.0,50,32,69,64.7,,,5.3,38.0,4.3,3.6,25,35,,,48,28,8.4,19.8,,14,82.0,5,52.7,61.0,22.9,26.9,30,88.7,,,,,,,,,,,,,,,,,,,,,
59,,1121010301,Talladega County,Alabama,2020,32,32,31,35,40,30,67,-0.4,12.0,-27.2,21,0.3,81.3,77.7,75.9,40,72.5,34,34,61,21.4,,,6.0,33.0,3.9,2.9,34,34,,,25,28,10.9,3.0,,23,82.5,10,50.1,58.0,22.9,25.9,21,88.0,,,,,,,,,,,,,,,,,,,,,
60,,1121010301,Talladega County,Alabama,2021,29,25,33,45,50,40,72,-1.7,28.0,-7.5,21,0.3,82.0,77.9,81.4,67,71.6,19,23,18,-2.9,,,8.5,19.0,5.5,3.0,27,34,,,24,36,11.8,-9.5,,38,84.1,54,41.5,42.0,24.6,21.8,11,85.5,,,,,,,,,,,,,,,,,,,,,
61,,1121010301,Talladega County,Alabama,2022,38,42,33,48,60,37,72,-1.4,49.0,21.3,21,0.3,81.8,71.6,83.2,57,71.3,40,24,43,-3.0,,,12.2,23.0,5.2,3.1,25,33,,,24,37,12.9,-5.1,,46,84.3,46,42.6,,24.7,,18,87.5,,,,,,,,,,,,,,,,,,,,,
62,,1121010301,Talladega County,Alabama,2023,37,39,35,57,69,45,67,-1.2,71.0,103.0,21,0.3,81.1,74.2,84.7,57,71.2,26,28,19,9.4,,,-7.2,31.0,3.9,2.9,25,33,,,27,31,14.5,5.0,,34,84.3,30,45.1,,25.5,,29,90.0,,,,,,,,,,,,,,,,,,,,,
63,,1121010301,Talladega County,Alabama,2024,42,41,42,57,69,45,67,-1.2,71.0,103.0,21,0.3,81.1,74.2,84.7,57,71.2,40,50,29,-5.7,,,-7.2,76.0,3.8,6.1,25,33,,,27,31,14.5,5.0,,34,84.3,30,45.1,,25.5,,29,90.0,,,,,,,,,,,,,,,,,,,,,
